name,location,vendor_categories,review,average_rating,count,image_count,reply_count,lat,lng,full_address,sido,gu,dong,shared_location_count,store_type,review_rank
큰복통닭,"{'lat': '37.4860180281577', 'lng': '126.939843313115'}","['치킨', '1인분주문']","{'average_rating': 4.9, 'count': 2834, 'image_count': 2131, 'reply_count': 1846}",4.9,2834,2131,1846,37.48601803,126.9398433,서울특별시 관악구 은천로 40-1,서울,관악구,봉천동,3,소규모 샵인샵,71
옛날도시락볶음밥-신림점,"{'lat': '37.4847421', 'lng': '126.93998828'}","['한식', '고기/구이', '야식', '도시락/죽', '포장', '신규맛집']","{'average_rating': 5.0, 'count': 11, 'image_count': 11, 'reply_count': 11}",5,11,11,11,37.4847421,126.9399883,서울특별시 관악구 봉천로29길 9,서울,관악구,봉천동,4,대규모 공유주방,949
노모어피자-신림점,"{'lat': '37.4835328', 'lng': '126.92264675'}","['피자/양식', '분식', '야식', '치킨', '프랜차이즈', '포장']","{'average_rating': 5.0, 'count': 2016, 'image_count': 1863, 'reply_count': 1991}",5,2016,1863,1991,37.4835328,126.9226468,서울특별시 관악구 남부순환로 1549,서울,관악구,신림동,1,독립 매장,102
족발정점-본점,"{'lat': '37.480665', 'lng': '126.92698267'}","['족발/보쌈', '고기/구이', '한식', '야식', '포장']","{'average_rating': 4.9, 'count': 256, 'image_count': 269, 'reply_count': 256}",4.9,256,269,256,37.480665,126.9269827,서울특별시 관악구 신원로3가길 23,서울,관악구,신림동,2,소규모 샵인샵,404
싹싹김치찜-관악본점,"{'lat': '37.4868902', 'lng': '126.92445837'}","['찜/탕', '한식', '야식', '포장', '1인분주문']","{'average_rating': 4.9, 'count': 112, 'image_count': 88, 'reply_count': 109}",4.9,112,88,109,37.4868902,126.9244584,서울특별시 관악구 신림동길 38,서울,관악구,신림동,1,독립 매장,567
플러스82-신림점,"{'lat': '37.4865662', 'lng': '126.93155707'}","['분식', '카페/디저트', '샌드위치', '포장', '야식', '프랜차이즈']","{'average_rating': 4.9, 'count': 284, 'image_count': 241, 'reply_count': 272}",4.9,284,241,272,37.4865662,126.9315571,서울특별시 관악구 신림로68길 39,서울,관악구,신림동,1,독립 매장,375
김종용누룽지통닭-신림점,"{'lat': '37.4853293278141', 'lng': '126.933779549962'}","['포장', '야식', '치킨']","{'average_rating': 4.9, 'count': 397, 'image_count': 330, 'reply_count': 3}",4.9,397,330,3,37.48532933,126.9337795,서울특별시 관악구 신림로64길 72,서울,관악구,신림동,1,독립 매장,320
맹호수제돈까스-신림점,"{'lat': '37.4839065', 'lng': '126.94208333'}","['고기/구이', '일식/돈까스', '포장', '프랜차이즈', '1인분주문']","{'average_rating': 4.9, 'count': 721, 'image_count': 594, 'reply_count': 580}",4.9,721,594,580,37.4839065,126.9420833,서울특별시 관악구 봉천로 373-16,서울,관악구,봉천동,1,독립 매장,222
쭈꾸미협동조합-신림점,"{'lat': '37.4841958', 'lng': '126.92511351'}","['찜/탕', '한식', '고기/구이', '포장', '야식', '프랜차이즈']","{'average_rating': 5.0, 'count': 29, 'image_count': 27, 'reply_count': 0}",5,29,27,0,37.4841958,126.9251135,서울특별시 관악구 관천로 59,서울,관악구,신림동,4,대규모 공유주방,803
춘리마라탕-신림역점,"{'lat': '37.4821733', 'lng': '126.93008486'}","['중국집', '찜/탕', '프랜차이즈', '포장']","{'average_rating': 4.9, 'count': 2360, 'image_count': 2104, 'reply_count': 240}",4.9,2360,2104,240,37.4821733,126.9300849,서울특별시 관악구 신림로 312,서울,관악구,신림동,1,독립 매장,85
굽네치킨&피자-은천점,"{'lat': '37.4862903', 'lng': '126.94220021'}","['피자/양식', '프랜차이즈', '치킨', '포장']","{'average_rating': 4.9, 'count': 1193, 'image_count': 1002, 'reply_count': 83}",4.9,1193,1002,83,37.4862903,126.9422002,서울 관악구 봉천동 622-3,서울,관악구,봉천동,1,독립 매장,151
맘스터치-신림역점,"{'lat': '37.4843848', 'lng': '126.92829443'}","['버거', '프랜차이즈', '치킨', '포장']","{'average_rating': 4.8, 'count': 937, 'image_count': 797, 'reply_count': 293}",4.8,937,797,293,37.4843848,126.9282944,서울특별시 관악구 남부순환로 1599-3,서울,관악구,신림동,1,독립 매장,181
외계인피자-신림점,"{'lat': '37.4848897', 'lng': '126.93768233'}","['피자/양식', '포장', '프랜차이즈']","{'average_rating': 5.0, 'count': 3140, 'image_count': 3042, 'reply_count': 3138}",5,3140,3042,3138,37.4848897,126.9376823,서울특별시 관악구 봉천로 338,서울,관악구,봉천동,1,독립 매장,59
1kg덮밥-봉천점,"{'lat': '37.484532', 'lng': '126.93968267'}","['분식', '고기/구이', '한식', '야식', '포장', '프랜차이즈']","{'average_rating': 4.9, 'count': 929, 'image_count': 759, 'reply_count': 231}",4.9,929,759,231,37.484532,126.9396827,서울특별시 관악구 봉천로 353-1,서울,관악구,봉천동,6,대규모 공유주방,182
요아정-신림점,"{'lat': '37.488939', 'lng': '126.925509'}","['카페/디저트', '야식', '포장', '프랜차이즈']","{'average_rating': 4.9, 'count': 843, 'image_count': 724, 'reply_count': 507}",4.9,843,724,507,37.488939,126.925509,서울특별시 관악구 봉천로6길 17,서울,관악구,신림동,1,독립 매장,197
고기로-신림점,"{'lat': '37.4842234', 'lng': '126.92352676'}","['고기/구이', '포장', '야식', '프랜차이즈']","{'average_rating': 4.9, 'count': 1931, 'image_count': 1622, 'reply_count': 1927}",4.9,1931,1622,1927,37.4842234,126.9235268,서울특별시 관악구 남부순환로167길 14,서울,관악구,신림동,1,독립 매장,106
곱도리탕에미친곱미남-관악본점,"{'lat': '37.489193', 'lng': '126.93024395'}","['찜/탕', '한식', '고기/구이', '포장', '야식']","{'average_rating': 5.0, 'count': 71, 'image_count': 59, 'reply_count': 70}",5,71,59,70,37.489193,126.930244,서울특별시 관악구 봉천로13길 9,서울,관악구,봉천동,10,대규모 공유주방,646
장인떡볶이,"{'lat': '37.4717877558061', 'lng': '126.939194923473'}","['분식', '한식', '포장']","{'average_rating': 4.9, 'count': 4350, 'image_count': 4328, 'reply_count': 2157}",4.9,4350,4328,2157,37.47178776,126.9391949,서울특별시 관악구 신림로12길 34,서울,관악구,신림동,1,독립 매장,37
밥풀릭스-신림점,"{'lat': '37.4887849', 'lng': '126.92615021'}","['찜/탕', '한식', '도시락/죽', '포장', '프랜차이즈', '1인분주문']","{'average_rating': 4.9, 'count': 346, 'image_count': 253, 'reply_count': 36}",4.9,346,253,36,37.4887849,126.9261502,서울특별시 관악구 관천로22길 67,서울,관악구,신림동,3,소규모 샵인샵,336
구름계란덮밥-신림점,"{'lat': '37.47934152072143', 'lng': '126.92690954502972'}","['한식', '일식/돈까스', '도시락/죽', '포장', '프랜차이즈', '1인분주문']","{'average_rating': 5.0, 'count': 2744, 'image_count': 2453, 'reply_count': 2721}",5,2744,2453,2721,37.47934152,126.9269095,서울특별시 관악구 문성로 209,서울,관악구,신림동,1,독립 매장,75
지코바치킨-신림2호점,"{'lat': '37.4792357478163', 'lng': '126.928390927545'}","['프랜차이즈', '치킨', '포장']","{'average_rating': 4.9, 'count': 1705, 'image_count': 1404, 'reply_count': 1187}",4.9,1705,1404,1187,37.47923575,126.9283909,서울특별시 관악구 문성로 222,서울,관악구,신림동,1,독립 매장,118
초밥24-신림점,"{'lat': '37.4814745', 'lng': '126.92979386'}","['일식/돈까스', '회/초밥', '포장', '1인분주문']","{'average_rating': 4.9, 'count': 717, 'image_count': 640, 'reply_count': 717}",4.9,717,640,717,37.4814745,126.9297939,서울특별시 관악구 신림로 303,서울,관악구,신림동,1,독립 매장,223
간식주유소-본점,"{'lat': '37.4861307', 'lng': '126.93675981'}","['카페/디저트', '야식', '샌드위치', '포장']","{'average_rating': 4.8, 'count': 59, 'image_count': 50, 'reply_count': 59}",4.8,59,50,59,37.4861307,126.9367598,서울특별시 관악구 은천로 14,서울,관악구,봉천동,3,소규모 샵인샵,683
88제육-신림봉천점,"{'lat': '37.4832725032839', 'lng': '126.940266203156'}","['찜/탕', '프랜차이즈', '한식', '포장']","{'average_rating': 5.0, 'count': 3272, 'image_count': 2674, 'reply_count': 1457}",5,3272,2674,1457,37.4832725,126.9402662,서울특별시 관악구 남부순환로 1709,서울,관악구,봉천동,1,독립 매장,55
킹케밥-샤로수길점,"{'lat': '37.479009307193756', 'lng': '126.95426014017832'}","['피자/양식', '아시안', '고기/구이', '포장', '야식']","{'average_rating': 4.7, 'count': 203, 'image_count': 167, 'reply_count': 203}",4.7,203,167,203,37.47900931,126.9542601,서울특별시 관악구 관악로14길 31,서울,관악구,봉천동,1,독립 매장,455
쉐프의생안심탕수육-관악본점,"{'lat': '37.4867629', 'lng': '126.94082561'}","['중국집', '분식', '야식', '포장', '프랜차이즈', '1인분주문']","{'average_rating': 4.7, 'count': 58, 'image_count': 45, 'reply_count': 52}",4.7,58,45,52,37.4867629,126.9408256,서울특별시 관악구 은천로9길 14,서울,관악구,봉천동,5,대규모 공유주방,686
