name,location,vendor_categories,review,average_rating,count,image_count,reply_count,lat,lng,full_address,sido,gu,dong
짜글이용사성공담-관악점,"{'lat': '37.4881203', 'lng': '126.9255175'}","['찜/탕', '한식', '도시락/죽', '포장', '야식', '프랜차이즈']","{'average_rating': 4.9, 'count': 47, 'image_count': 31, 'reply_count': 47}",4.9,47.0,31.0,47.0,37.4881203,126.9255175,서울특별시 관악구 봉천로6길 36,서울,관악구,신림동
명인왕족발,"{'lat': '37.4782091', 'lng': '126.90290674'}","['족발/보쌈', '야식']","{'average_rating': 4.4, 'count': 2294, 'image_count': 1674, 'reply_count': 2269}",4.4,2294.0,1674.0,2269.0,37.4782091,126.90290674,서울특별시 금천구 독산로107길 14,서울,금천구,독산동
모쿠816cafe-신림점,"{'lat': '37.4806889474198', 'lng': '126.946451608055'}","['포장', '카페/디저트', '야식', '샌드위치', '프랜차이즈']","{'average_rating': 4.8, 'count': 218, 'image_count': 188, 'reply_count': 98}",4.8,218.0,188.0,98.0,37.4806889474198,126.946451608055,서울특별시 관악구 청룡5길 3,서울,관악구,봉천동
호식이두마리치킨-청룡점,"{'lat': '37.4800031', 'lng': '126.94590971'}","['프랜차이즈', '치킨', '포장', '야식']","{'average_rating': 4.9, 'count': 10993, 'image_count': 9725, 'reply_count': 10616}",4.9,10993.0,9725.0,10616.0,37.4800031,126.94590971,서울특별시 관악구 청룡길 40,서울,관악구,봉천동
양지순천집백순대&오볶,"{'lat': '37.4824902603777', 'lng': '126.926623273953'}","['한식', '야식', '고기/구이', '포장']","{'average_rating': 4.8, 'count': 2073, 'image_count': 1551, 'reply_count': 102}",4.8,2073.0,1551.0,102.0,37.4824902603777,126.926623273953,서울특별시 관악구 신원로3길 40,서울,관악구,신림동
불맛나는낙지세상,"{'lat': '37.4797711537112', 'lng': '126.911739259336'}","['한식', '야식', '고기/구이', '찜/탕']","{'average_rating': 4.7, 'count': 379, 'image_count': 343, 'reply_count': 143}",4.7,379.0,343.0,143.0,37.4797711537112,126.911739259336,서울특별시 관악구 남부순환로142길 31,서울,관악구,신림동
탐나종합어시장-난곡사거리점,"{'lat': '37.4822315318372', 'lng': '126.915112705623'}","['포장', '일식/돈까스', '회/초밥']","{'average_rating': 4.9, 'count': 2374, 'image_count': 2174, 'reply_count': 2232}",4.9,2374.0,2174.0,2232.0,37.4822315318372,126.915112705623,서울특별시 관악구 남부순환로 1481,서울,관악구,신림동
파스텔라-신림점,"{'lat': '37.4839342', 'lng': '126.93936786'}","['피자/양식', '분식', '고기/구이', '포장', '야식', '1인분주문', '신규맛집']","{'average_rating': 4.7, 'count': 15, 'image_count': 15, 'reply_count': 15}",4.7,15.0,15.0,15.0,37.4839342,126.93936786,서울특별시 관악구 봉천로 356,서울,관악구,봉천동
푸줏간 숙성돼지 김치찜-관악직영점,"{'lat': '37.483194516786824', 'lng': '126.94515672134224'}","['찜/탕', '한식', '야식', '포장']","{'average_rating': 4.9, 'count': 65, 'image_count': 46, 'reply_count': 56}",4.9,65.0,46.0,56.0,37.48319451678682,126.94515672134224,서울특별시 관악구 봉천로 407,서울,관악구,봉천동
마라영웅마라탕&마라샹궈-봉천점,"{'lat': '37.478144466165276', 'lng': '126.94139102703542'}","['중국집', '아시안', '찜/탕', '프랜차이즈', '포장']","{'average_rating': 4.9, 'count': 2941, 'image_count': 2594, 'reply_count': 1301}",4.9,2941.0,2594.0,1301.0,37.47814446616528,126.94139102703542,서울특별시 관악구 참숯1길 19,서울,관악구,봉천동
