name,location,vendor_categories,review,average_rating,count,image_count,reply_count,lat,lng
대한냉면-구로점,"{'lat': '37.4971337672956', 'lng': '126.887689083888'}","['분식', '일식/돈까스', '포장', '1인분주문']","{'average_rating': 5.0, 'count': 2298, 'image_count': 2031, 'reply_count': 2294}",5.0,2298.0,2031.0,2294.0,37.4971337672956,126.887689083888
굽고굽고,"{'lat': '37.466753759707', 'lng': '126.937488233018'}","['피자/양식', '포장', '야식', '치킨']","{'average_rating': 4.8, 'count': 279, 'image_count': 176, 'reply_count': 18}",4.8,279.0,176.0,18.0,37.466753759707,126.937488233018
K비빔밥-독산점,"{'lat': '37.4635252', 'lng': '126.90109834'}","['한식', '도시락/죽', '포장', '프랜차이즈', '1인분주문']","{'average_rating': 4.9, 'count': 27, 'image_count': 21, 'reply_count': 3}",4.9,27.0,21.0,3.0,37.4635252,126.90109834
옥수동묵은지김치찜-금천점,"{'lat': '37.4585232', 'lng': '126.89940598'}","['찜/탕', '한식', '고기/구이', '포장', '프랜차이즈', '야식']","{'average_rating': 4.9, 'count': 266, 'image_count': 230, 'reply_count': 32}",4.9,266.0,230.0,32.0,37.4585232,126.89940598
BRsingles-대림삼거리점,"{'lat': '37.4908450430665', 'lng': '126.908520345526'}","['카페/디저트', '프랜차이즈', '포장', '1인분주문']","{'average_rating': 5.0, 'count': 1, 'image_count': 0, 'reply_count': 0}",5.0,1.0,0.0,0.0,37.4908450430665,126.908520345526
오리에올인-금천점,"{'lat': '37.4766142', 'lng': '126.90294283'}","['찜/탕', '고기/구이', '족발/보쌈', '야식', '포장']","{'average_rating': 4.8, 'count': 55, 'image_count': 51, 'reply_count': 31}",4.8,55.0,51.0,31.0,37.4766142,126.90294283
회뜨는중-영등포점,"{'lat': '37.5189777', 'lng': '126.90883063'}","['중국집', '일식/돈까스', '야식', '찜/탕', '포장']","{'average_rating': 4.5, 'count': 25, 'image_count': 26, 'reply_count': 0}",4.5,25.0,26.0,0.0,37.5189777,126.90883063
마라센풍,"{'lat': '37.5121975', 'lng': '126.90666149'}","['중국집', '아시안', '야식']","{'average_rating': 4.9, 'count': 100, 'image_count': 99, 'reply_count': 0}",4.9,100.0,99.0,0.0,37.5121975,126.90666149
누리마을감자탕-구로디지털역점,"{'lat': '37.484227722250644', 'lng': '126.90137696638932'}","['찜/탕', '한식', '프랜차이즈', '야식']","{'average_rating': 4.3, 'count': 33, 'image_count': 18, 'reply_count': 9}",4.3,33.0,18.0,9.0,37.484227722250644,126.90137696638932
노랑통닭-상도점,"{'lat': '37.5007042', 'lng': '126.95016908'}","['프랜차이즈', '치킨', '포장', '야식']","{'average_rating': 4.9, 'count': 31, 'image_count': 21, 'reply_count': 31}",4.9,31.0,21.0,31.0,37.5007042,126.95016908
금천족발,"{'lat': '37.472380280787974', 'lng': '126.90188905209016'}","['족발/보쌈', '포장', '고기/구이', '한식']","{'average_rating': 4.7, 'count': 11, 'image_count': 14, 'reply_count': 1}",4.7,11.0,14.0,1.0,37.472380280787974,126.90188905209016
빅밥-독산점,"{'lat': '37.4706396', 'lng': '126.90268567'}","['한식', '분식', '일식/돈까스', '포장']","{'average_rating': 5.0, 'count': 7, 'image_count': 7, 'reply_count': 0}",5.0,7.0,7.0,0.0,37.4706396,126.90268567
리얼식단&다이어트푸드-구로점,"{'lat': '37.49927803433198', 'lng': '126.89111229504705'}","['피자/양식', '샐러드', '샌드위치', '포장']","{'average_rating': 4.9, 'count': 8, 'image_count': 3, 'reply_count': 0}",4.9,8.0,3.0,0.0,37.49927803433198,126.89111229504705
